id,name,assign_on_pr,filter_domain_pr,assign_on_pa,filter_domain_pa,assign_on_po,filter_domain_po
pr_rule_31,PR วิทยาลัยเทคโนโลยีและนวัตกรรมวัสดุ,True,"[('department_id.code', 'in', ['31'])]",,,,
pr_rule_31020,PR ศูนย์วิจัยร่วมภาครัฐและเอกชน,True,"[('department_id.code', 'in', ['31020'])]",,,,
pr_rule_31030,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['31030'])]",,,,
pr_rule_31040,PR ศูนย์วิจัยนาโนเทคโนโลยีเพื่อการเกษตร,True,"[('department_id.code', 'in', ['31040'])]",,,,
pr_rule_31050,PR ภาควิชานาโนวิทยาและนาโนเทคโนโลยี,True,"[('department_id.code', 'in', ['31050'])]",,,,
pr_rule_32,PR วิทยาลัยนวัตกรรมการผลิตขั้นสูง,True,"[('department_id.code', 'in', ['32'])]",,,,
pr_rule_32020,PR ศูนย์วิจัยร่วมภาครัฐและเอกชน,True,"[('department_id.code', 'in', ['32020'])]",,,,
pr_rule_32030,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['32030'])]",,,,
pr_rule_32040,PR ภาควิชาเทคโนโลยีระบบการผลิต,True,"[('department_id.code', 'in', ['32040'])]",,,,
pr_rule_33,PR สำนักงานสภาสถาบัน,True,"[('department_id.code', 'in', ['33'])]",,,,
pr_rule_33030,PR งานบริหารงานทั่วไป,True,"[('department_id.code', 'in', ['33030'])]",,,,
pr_rule_33040,PR งานประชุม สรรหาและแต่งตั้ง,True,"[('department_id.code', 'in', ['33040'])]",,,,
pr_rule_33050,PR งานวิเคราะห์ ติดตามนโยบายและประเมินผล,True,"[('department_id.code', 'in', ['33050'])]",,,,
pr_rule_33060,PR งานตรวจสอบ,True,"[('department_id.code', 'in', ['33060'])]",,,,
pr_rule_34,PR วิทยาลัยนานาชาติ,True,"[('department_id.code', 'in', ['34'])]",,,,
pr_rule_36,PR คณะบริหารธุรกิจ,True,"[('department_id.code', 'in', ['36'])]",,,,
pr_rule_36010,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['36010'])]",,,,
pr_rule_36060,PR ศูนย์บริการวิชาการด้านการบริหารธุรกิจและการจัดการ,True,"[('department_id.code', 'in', ['36060'])]",,,,
pr_rule_36090,PR สาขาวิชาบริหารธุรกิจและเศรษฐศาสตร์,True,"[('department_id.code', 'in', ['36090'])]",,,,
pr_rule_37,PR สำนักวิชาศึกษาทั่วไป,True,"[('department_id.code', 'in', ['37'])]",,,,
pr_rule_38,PR คณะแพทยศาสตร์,True,"[('department_id.code', 'in', ['38'])]",,,,
pr_rule_38010,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['38010'])]",,,,
pr_rule_38020,PR สาขาวิชาแพทยศาสตร์,True,"[('department_id.code', 'in', ['38020'])]",,,,
pr_rule_38030,PR ศูนย์บริการทางการแพทย์,True,"[('department_id.code', 'in', ['38030'])]",,,,
pr_rule_38040,PR ศูนย์วิจัยและนวัตกรรมแพทย์ สจล.โรงพยาบาลสิรินธร,True,"[('department_id.code', 'in', ['38040'])]",,,,
pr_rule_39,PR วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม,True,"[('department_id.code', 'in', ['39'])]",,,,
pr_rule_39010,PR สำนักงานวิทยาลัยวิจัยนวัตกรรมทางการศึกษา,True,"[('department_id.code', 'in', ['39010'])]",,,,
pr_rule_39020,PR ภาควิชาการศึกษาขั้นพื้นฐาน,True,"[('department_id.code', 'in', ['39020'])]",,,,
pr_rule_39030,PR ภาควิชาวิจัยและพัฒนานวัตกรรม,True,"[('department_id.code', 'in', ['39030'])]",,,,
pr_rule_39050,PR ศูนย์วิจัยนวัตกรรมทางการศึกษา,True,"[('department_id.code', 'in', ['39050'])]",,,,
pr_rule_40,PR วิทยาลัยอุตสาหกรรมการบินนานาชาติ,True,"[('department_id.code', 'in', ['40'])]",,,,
pr_rule_40010,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['40010'])]",,,,
pr_rule_40020,PR ภาควิชาวิศวกรรมการบิน,True,"[('department_id.code', 'in', ['40020'])]",,,,
pr_rule_40030,PR ภาควิชานวัตกรรมการจัดการอุตสาหกรรมการบินและการบริการ,True,"[('department_id.code', 'in', ['40030'])]",,,,
pr_rule_40040,PR ศูนย์นวัตกรรมการบินและบริการ,True,"[('department_id.code', 'in', ['40040'])]",,,,
pr_rule_41,PR คณะศิลปศาสตร์,True,"[('department_id.code', 'in', ['41'])]",,,,
pr_rule_41010,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['41010'])]",,,,
pr_rule_41020,PR ภาควิชาภาษา,True,"[('department_id.code', 'in', ['41020'])]",,,,
pr_rule_41030,PR ภาควิชามนุษยศาสตร์และสังคมศาสตร์,True,"[('department_id.code', 'in', ['41030'])]",,,,
pr_rule_41040,PR ศูนย์ภาษาพระจอมเกล้าลาดกระบัง,True,"[('department_id.code', 'in', ['41040'])]",,,,
pr_rule_42,PR วิทยาลัยวิศวกรรมสังคีต,True,"[('department_id.code', 'in', ['42'])]",,,,
pr_rule_42010,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['42010'])]",,,,
pr_rule_42020,PR สาขาวิชาวิศวกรรมดนตรีและสื่อประสม,True,"[('department_id.code', 'in', ['42020'])]",,,,
pr_rule_42030,PR สาขาวิชาวิศวกรรมเสียงและการออกแบบ,True,"[('department_id.code', 'in', ['42030'])]",,,,
pr_rule_42040,PR ศูนย์วิจัยและพัฒนานวัตกรรม,True,"[('department_id.code', 'in', ['42040'])]",,,,
pr_rule_43,PR สำนักวิจัยนวัตกรรมเมืองอัจฉริยะ,True,"[('department_id.code', 'in', ['43'])]",,,,
pr_rule_44,PR โรงพยาบาลพระจอมเกล้าเจ้าคุณทหาร,True,"[('department_id.code', 'in', ['44'])]",,,,
pr_rule_44010,PR ส่วนบริหารงานทั่วไป,True,"[('department_id.code', 'in', ['44010'])]",,,,
pr_rule_44020,PR ฝ่ายบริการทางการแพทย์,True,"[('department_id.code', 'in', ['44020'])]",,,,
pr_rule_45,PR คณะทันตแพทยศาสตร์,True,"[('department_id.code', 'in', ['45'])]",,,,
pr_rule_45010,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['45010'])]",,,,
pr_rule_45020,PR สาขาวิชาทันตแพทยศาสตร์,True,"[('department_id.code', 'in', ['45020'])]",,,,
pr_rule_45030,PR ศูนย์วิจัยและนวัตกรรมทางทันตแพทย์,True,"[('department_id.code', 'in', ['45030'])]",,,,
pr_rule_45040,PR ศูนย์บริการทางทันตกรรม,True,"[('department_id.code', 'in', ['45040'])]",,,,
pr_rule_46,PR 42 บางกอก,True,"[('department_id.code', 'in', ['46'])]",,,,
pr_rule_47,PR คณะพยาบาลศาสตร์,True,"[('department_id.code', 'in', ['47'])]",,,,
pr_rule_47010,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['47010'])]",,,,
pr_rule_47020,PR สาขาวิชาพยาบาลศาสตร์,True,"[('department_id.code', 'in', ['47020'])]",,,,
pr_rule_48,PR คณะเทคโนโลยีนวัตกรรมบูรณาการ,True,"[('department_id.code', 'in', ['48'])]",,,,
pr_rule_48010,PR ภาควิชาเทคโนโลยีระบบการผลิต,True,"[('department_id.code', 'in', ['48010'])]",,,,
pr_rule_48020,PR ภาควิชานาโนวิทยาและนาโนเทคโนโลยี,True,"[('department_id.code', 'in', ['48020'])]",,,,
pr_rule_48060,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['48060'])]",,,,
pr_rule_89,PR สำนักงานอธิการบดี,True,"[('department_id.code', 'in', ['89'])]",,,,
pr_rule_89310,PR สำนักงานบริหารวิชาการและคุณภาพการศึกษา,True,"[('department_id.code', 'in', ['89310'])]",,,,
pr_rule_89320,PR สำนักงานกิจการต่างประเทศ,True,"[('department_id.code', 'in', ['89320'])]",,,,
