"name","code","parent_id"
งานวิเคราะห์ ติดตามนโยบายและประเมินผล,"33050",สำนักงานสภาสถาบัน
งานตรวจสอบ,"33060",สำนักงานสภาสถาบัน
วิทยาลัยนานาชาติ,"34",
คณะบริหารธุรกิจ,"36",
ส่วนสนับสนุนวิชาการ,"36010",คณะบริหารธุรกิจ
ศูนย์บริการวิชาการด้านการบริหารธุรกิจและการจัดการ,"36060",คณะบริหารธุรกิจ
สาขาวิชาบริหารธุรกิจและเศรษฐศาสตร์,"36090",คณะบริหารธุรกิจ
สำนักวิชาศึกษาทั่วไป,"37",
คณะแพทยศาสตร์,"38",
ส่วนสนับสนุนวิชาการ,"38010",คณะแพทยศาสตร์
สาขาวิชาแพทยศาสตร์,"38020",คณะแพทยศาสตร์
ศูนย์บริการทางการแพทย์,"38030",คณะแพทยศาสตร์
ศูนย์วิจัยและนวัตกรรมแพทย์ สจล.โรงพยาบาลสิรินธร,"38040",คณะแพทยศาสตร์
วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม,"39",
สำนักงานวิทยาลัยวิจัยนวัตกรรมทางการศึกษา,"39010",วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม
สํานักงานวิทยาลัยวิจัยนวัตกรรมทางการศึกษา,"39010",วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม
ภาควิชาการศึกษาขั้นพื้นฐาน,"39020",วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม
ภาควิชาวิจัยและพัฒนานวัตกรรม,"39030",วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม
ศูนย์วิจัยนวัตกรรมทางการศึกษา,"39050",วิทยาลัยการจัดการนวัตกรรมและอุตสาหกรรม
วิทยาลัยอุตสาหกรรมการบินนานาชาติ,"40",
ส่วนสนับสนุนวิชาการ,"40010",วิทยาลัยอุตสาหกรรมการบินนานาชาติ
ภาควิชาวิศวกรรมการบิน,"40020",วิทยาลัยอุตสาหกรรมการบินนานาชาติ
ภาควิชานวัตกรรมการจัดการอุตสาหกรรมการบินและการบริการ,"40030",วิทยาลัยอุตสาหกรรมการบินนานาชาติ
ศูนย์นวัตกรรมการบินและบริการ,"40040",วิทยาลัยอุตสาหกรรมการบินนานาชาติ
คณะศิลปศาสตร์,"41",
