id,code,name,plan_id/id,parent_id/id,line_seq
"activity_09010020152","09010020152",กิจกรรมรอง จัดทำวารสารทางวิชาการ,analytic_plan_activities,activity_090100201,
"activity_09010020153","09010020153",กิจกรรมรอง จัดแสดงนิทรรศการ,analytic_plan_activities,activity_090100201,
"activity_09010020154","09010020154",กิจกรรมรอง บริการวิชาการรูปแบบต่าง ๆ,analytic_plan_activities,activity_090100201,
"activity_09011","09011",แผนงานศาสนา ศิลปะ และวัฒนธรรม,analytic_plan_activities,activity_09,
"activity_090110301","090110301",กิจกรรมหลัก งานทำนุบำรุงศิลปวัฒนธรรม,analytic_plan_activities,activity_09011,
"activity_09011030130","09011030130",กิจกรรมรอง การจัดฝึกอบรม/การจัดนิทรรศการ,analytic_plan_activities,activity_090110301,
"activity_09011030131","09011030131",กิจกรรมรอง การเผยแพร่ประชาสัมพันธ์,analytic_plan_activities,activity_090110301,
"activity_09011030132","09011030132",กิจกรรมรอง การดำเนินงานอื่นๆ (ด้านศิลปวัฒนธรรม),analytic_plan_activities,activity_090110301,
"activity_09006","09006",แผนงานยุทธศาสตร์,analytic_plan_activities,activity_09,
"activity_090060601","090060601",กิจกรรมหลัก งานพัฒนาและผลิตกำลังคนของประเทศ เพื่อรองรับนโยบาย Thailand 4.0,analytic_plan_activities,activity_09006,
"activity_09006060160","09006060160",กิจกรรมรอง พัฒนารูปแบบข้อสอบวัดระดับมาตราฐานภาษาอังกฤษสำหรับบุคลากรในภาคอุตสาหกรรม S – Curve,analytic_plan_activities,activity_090060601,
"activity_09006060161","09006060161",กิจกรรมรอง ยกระดับแรงงานไทยในภาคอุตสาหกรรมให้มีศักยภาพเพิ่มขึ้น เพื่อเพิ่มขีดความสามารถในการแข่งขันของประเทศ,analytic_plan_activities,activity_090060601,
"activity_09006060162","09006060162",กิจกรรมรอง กำลังคนต้นแบบด้านวิทยาศาสตร์และเทคโนโลยี เพื่อตอบสนองความต้องการภาคอุตสาหกรรมตามนโยบายรัฐบาล (KNAST),analytic_plan_activities,activity_090060601,
"activity_09006060163","09006060163",กิจกรรมรอง ผลิตและพัฒนากำลังคนระดับอาชีวศึกษาและอุดมศึกษาตามความต้องการของประเทศ (ปริญญาตรีต่อเนื่อง),analytic_plan_activities,activity_090060601,
